T	 X(M23C6,AL)	X(M23C6,C)	X(M23C6,CR)	X(M23C6,FE)	X(M23C6,MN)	X(M23C6,MO)	X(M23C6,NB)	X(M23C6,NI)	X(M23C6,SI)	X(M23C6,W)
760	0	.2068966	.6067562	.09746809	1.339885E-04	.06192869	0	.004712737	0	.02210371
750	0	.2068966	.6099784	.09389469	1.200108E-04	.06465215	0	.004490761	0	.01996747
740	0	.2068966	.6130333	.09045208	1.072881E-04	.06727848	0	.004271508	0	.01796076
730	0	.2068966	.6159233	.08714451	9.577775E-05	.06979515	0	.004055593	0	.01608914
720	0	.2068966	.618653	.08397336	8.541582E-05	.0721928	0	.003843611	0	.01435523
710	0	.2068966	.6212297	.0809375	7.612465E-05	.07446499	0	.003636117	0	.012759
700	0	.2068966	.623662	.07803382	6.781891E-05	.07660799	0	.003433616	0	.01129818
690	0	.2068966	.6259598	.0752576	6.041059E-05	.07862043	0	.003236553	0	.009968676
680	0	.2068966	.6281334	.07260301	5.381269E-05	.08050296	0	.003045315	0	.008764981
670	0	.2068966	.6301935	.07006341	4.794188E-05	.08225789	0	.002860222	0	.00768053
660	0	.2068966	.6321506	.06763173	4.27201E-05	.08388885	0	.002681537	0	.006708042
650	0	.2068966	.6340149	.06530069	3.807555E-05	.08540048	0	.002509463	0	.005839798
640	0	.2068966	.6357962	.06306304	3.394306E-05	.0867982	0	.002344149	0	.005067878
630	0	.2068966	.6375035	.06091171	3.026407E-05	.08808792	0	.002185694	0	.004384352
620	0	.2068966	.6391451	.05883991	2.698638E-05	.08927587	0	.002034151	0	.003781435
610	0	.2068966	.6407286	.05684124	2.406375E-05	.09036845	0	.001889535	0	.0032516
602.6242	0	.2068966	.6418633	.05541041	2.211153E-05	.09111696	0	.001787295	0	.002903421
602.6242	0	.2068966	.6418633	.05541041	2.211153E-05	.09111696	0	.001787295	0	.002903421
602.6242	0	.2068966	.6418633	.05541041	2.211153E-05	.09111696	0	.001787295	0	.002903421
600	0	.2068966	.642258	.05492494	2.147522E-05	.09135602	0	.001752147	0	.002790925
590	0	.2068966	.6437359	.05311255	1.921361E-05	.09221577	0	.001622478	0	.00239751
580	0	.2068966	.6451764	.0513562	1.718852E-05	.09299882	0	.001499504	0	.002055328
570	0	.2068966	.6465838	.04965165	1.537369E-05	.09371085	0	.001383117	0	.001758615
560	0	.2068966	.6479621	.04799515	1.374612E-05	.09435718	0	.001273189	0	.001502091
550	0	.2068966	.6493145	.04638339	1.228567E-05	.09494274	0	.001169576	0	.001280951
547.7445	0	.2068966	.6496163	.04602574	1.19775E-05	.09506689	0	.001147062	0	.001235508
547.7445	0	.2068966	.6496163	.04602574	1.19775E-05	.09506689	0	.001147062	0	.001235508
540	0	.2068966	.6506626	.04499376	1.114239E-05	.09522103	0	.001075082	0	.001139834
530	0	.2068966	.6520143	.0436665	1.01378E-05	.09539987	0	9.866805E-04	0	.001025963
520	0	.2068966	.6533672	.04234516	9.211475E-06	.09555636	0	9.033047E-04	0	9.222085E-04
510	0	.2068966	.6547219	.04102979	8.358477E-06	.09569082	0	8.248473E-04	0	8.277772E-04
500	0	.2068966	.6560788	.03972055	7.574127E-06	.09580343	0	7.511919E-04	0	7.419289E-04
490	0	.2068966	.6574385	.03841768	6.853997E-06	.09589425	0	6.82214E-04	0	6.639734E-04
480	0	.2068966	.6588014	.03712158	6.193894E-06	.09596318	0	6.17781E-04	0	5.932684E-04
470	0	.2068966	.6601682	.03583272	5.589848E-06	.09600997	0	5.577533E-04	0	5.292169E-04
460	0	.2068966	.6615393	.03455169	5.038098E-06	.09603414	0	5.019845E-04	0	4.712655E-04
450	0	.2068966	.6629154	.0332792	4.535083E-06	.09603505	0	4.50322E-04	0	4.189018E-04
440	0	.2068966	.6642973	.0320161	4.077436E-06	.09601174	0	4.026078E-04	0	3.716525E-04
430	0	.2068966	.6656857	.03076334	3.661978E-06	.09596299	0	3.586789E-04	0	3.290812E-04
420	0	.2068966	.6670818	.02952206	3.285719E-06	.09588715	0	3.183686E-04	0	2.907871E-04
410	0	.2068966	.6684869	.02829361	2.945858E-06	.09578205	0	2.815068E-04	0	2.564033E-04
400	0	.2068966	.6699028	.02707964	2.6398E-06	.09564485	0	2.479215E-04	0	2.255965E-04
399.85	0	.2068966	.6699241	.02706155	2.635454E-06	.09564253	0	2.474418E-04	0	2.2516E-04
