T	 X(FCC_A1#1,AL)	X(FCC_A1#1,C)	X(FCC_A1#1,CR)	X(FCC_A1#1,FE)	X(FCC_A1#1,MN)	X(FCC_A1#1,MO)	X(FCC_A1#1,NB)	X(FCC_A1#1,NI)	X(FCC_A1#1,SI)	X(FCC_A1#1,W)
740	.04922099	2.097792E-05	.1521773	.5834984	.002014514	.01413117	5.812697E-04	.1951729	.003152414	3.008701E-05
730	.04922159	1.766189E-05	.1521796	.5835056	.002014538	.01413135	5.718228E-04	.1951753	.003152453	3.008832E-05
720	.04922215	1.480434E-05	.1521818	.5835123	.002014561	.01413152	5.627794E-04	.1951775	.003152489	3.008954E-05
720	.04922215	1.480434E-05	.1521818	.5835123	.002014561	.01413152	5.627794E-04	.1951775	.003152489	3.008954E-05
710	.04922268	1.235364E-05	.1521838	.5835186	.002014583	.01413168	5.540891E-04	.1951796	.003152523	3.00907E-05
706.9259	.04922283	1.167453E-05	.1521845	.5835204	.002014589	.01413172	5.514813E-04	.1951802	.003152533	3.009104E-05
706.9259	.04922283	1.167453E-05	.1521845	.5835204	.002014589	.01413172	5.514813E-04	.1951802	.003152533	3.009104E-05
700	.049291	1.025697E-05	.151634	.5843241	.002017372	.01369385	5.467127E-04	.1954499	.003004185	2.851415E-05
690	.04938768	8.473611E-06	.15085	.5854645	.00202132	.01307259	5.400612E-04	.1958326	.002796411	2.63897E-05
680	.04948225	6.96616E-06	.1500791	.5865805	.002025183	.0124646	5.336455E-04	.1962071	.002596281	2.442761E-05
670	.04957468	5.698496E-06	.1493218	.5876717	.00202896	.01187026	5.274248E-04	.1965731	.002403856	2.261101E-05
660	.0496649	4.638004E-06	.1485786	.5887373	.002032647	.01128991	5.213619E-04	.1969305	.002219195	2.09256E-05
650	.04975287	3.755462E-06	.1478502	.5897769	.002036243	.01072389	5.154233E-04	.197279	.002042354	1.935912E-05
640	.04983855	3.024891E-06	.147137	.5907898	.002039746	.01017252	5.095791E-04	.1976185	.001873382	1.790106E-05
630	.0499219	2.423358E-06	.1464394	.5917754	.002043154	.009636114	5.038024E-04	.1979489	.001712327	1.654233E-05
630	.0499219	2.423358E-06	.1464394	.5917754	.002043154	.009636114	5.038024E-04	.1979489	.001712327	1.654233E-05
620	.05000286	1.930765E-06	.1457581	.5927334	.002046466	.009114964	4.980694E-04	.1982698	.001559227	1.527502E-05
610	.05008141	1.529616E-06	.1450932	.593663	.00204968	.008609335	4.923589E-04	.1985812	.001414114	1.409221E-05
600	.05015751	1.204782E-06	.1444454	.5945641	.002052793	.008119467	4.866523E-04	.198883	.001277013	1.298781E-05
590	.05023112	9.432671E-07	.1438148	.595436	.002055806	.007645566	4.809332E-04	.1991749	.001147935	1.195641E-05
580	.05030224	7.339758E-07	.1432019	.5962786	.002058717	.0071878	4.751871E-04	.199457	.001026882	1.099319E-05
570	.05037083	5.674996E-07	.1426068	.5970916	.002061525	.006746294	4.694016E-04	.199729	9.138383E-04	1.009379E-05
560	.05043689	4.359094E-07	.1420298	.5978748	.00206423	.006321123	4.635656E-04	.1999911	8.087712E-04	9.254281E-06
550	.05050042	3.325661E-07	.141471	.5986282	.002066831	.005912301	4.576697E-04	.2002432	7.116254E-04	8.471039E-06
540	.05056143	2.519473E-07	.1409303	.599352	.002069329	.005519783	4.517055E-04	.2004852	6.223198E-04	7.74073E-06
530.0535	.05061962	1.897815E-07	.1404104	.6000426	.002071713	.005145417	4.456987E-04	.2007161	5.411576E-04	7.063752E-06
530.0535	.05061962	1.897815E-07	.1404104	.6000426	.002071713	.005145417	4.456987E-04	.2007161	5.411576E-04	7.063752E-06
530.0535	.05061962	1.897815E-07	.1404104	.6000426	.002071713	.005145417	4.456987E-04	.2007161	5.411576E-04	7.063752E-06
530	.3188358	.007507791	.004633868	.3319261	.003268419	.001984679	.002233013	.3234434	.002980893	.003186015
