
 Phase Region for:
     BCC_A2                        
     FCC_A1#1                      
     FCC_A1#2                      
     HCP_A3#1                      
     HCP_A3#2                      
 col-1=W(N), col-2=GM(FCC_A1#1), col-3=GM(BCC_A2), col-4=GM(HCP_A3#1), col-5=GM1, col-6=GM2,
   9.36589E-04  -1.54523E+04  -1.83394E+04  -1.51704E+04  -2.88700E+03   2.81990E+02
   8.36589E-04  -1.54316E+04  -1.83364E+04  -1.51553E+04  -2.90484E+03   2.76271E+02
   7.36589E-04  -1.54105E+04  -1.83332E+04  -1.51400E+04  -2.92269E+03   2.70526E+02
   6.36589E-04  -1.53892E+04  -1.83298E+04  -1.51244E+04  -2.94057E+03   2.64755E+02
   5.36589E-04  -1.53676E+04  -1.83260E+04  -1.51086E+04  -2.95846E+03   2.58957E+02
   4.36589E-04  -1.53455E+04  -1.83219E+04  -1.50924E+04  -2.97638E+03   2.53133E+02
   3.36589E-04  -1.53230E+04  -1.83174E+04  -1.50758E+04  -2.99431E+03   2.47283E+02
   2.36589E-04  -1.53000E+04  -1.83122E+04  -1.50586E+04  -3.01226E+03   2.41407E+02
   1.36589E-04  -1.52760E+04  -1.83063E+04  -1.50405E+04  -3.03024E+03   2.35504E+02
   3.65889E-05  -1.52505E+04  -1.82988E+04  -1.50210E+04  -3.04823E+03   2.29575E+02
   1.10000E-05  -1.52434E+04  -1.82962E+04  -1.50153E+04  -3.05284E+03   2.28054E+02
